,tempo,beats_mean,beats_std,beats_median,beats_min,beats_max,rms_mean,rms_std,rms_median,rms_min,rms_max
135337,99.38401442307692,633.12,372.92190281612585,633.0,3.0,1266.0,0.1169878621182344,0.0418905412106075,0.1168530180921344,0.0107531958495456,0.2565396416502469
135091,117.45383522727272,606.4107142857143,352.99376647600786,599.5,5.0,1208.0,0.0163591337634596,0.0080354529111425,0.0149493040960383,0.0026761741139312,0.0630759471919429
135043,99.38401442307692,620.4166666666666,357.4459652248932,620.0,14.0,1227.0,0.080931392027338,0.0287641512240496,0.0834191257581452,0.011327331639535,0.1618349153365317
135044,129.19921875,598.1833333333333,343.97802699526545,597.0,12.0,1185.0,0.0888049157996387,0.0301920648102156,0.0910539390896512,0.0040323488364639,0.1819823752020143
135336,92.28515625,612.1777777777778,368.3441198353572,609.0,3.0,1239.0,0.1505182607133899,0.0725505432158234,0.1404019945239702,0.0034426265118367,0.3648841525135809
135989,117.45383522727272,636.05,372.74765481041817,636.0,3.0,1272.0,0.1631412747609109,0.0531829574070205,0.1531021607162422,0.0536792770186002,0.3397396410498988
135092,151.99908088235293,639.36,375.6656541837879,641.0,3.0,1271.0,0.0685616052628274,0.016072648176082,0.0669080275126191,0.028750585489816,0.1358218131038699
135341,86.1328125,626.8372093023256,364.090771344535,629.0,8.0,1235.0,0.0870532825675769,0.0376837822184981,0.0833896354255979,0.0115018562960018,0.2090544003968965
135054,123.046875,320.48387096774195,183.15265463854087,329.0,3.0,621.0,0.0435202462853191,0.0275171763923652,0.0390287089224092,0.004214415534238,0.1552029215639394
135221,143.5546875,625.1571428571428,365.0245641720289,628.5,3.0,1243.0,0.1063710968430087,0.0255943391614597,0.1026637908192293,0.0269362815977737,0.207739105744597
135369,99.38401442307692,662.5813953488372,319.7714469093795,660.0,125.0,1215.0,0.0877312464281484,0.0406518277657309,0.0773768634666113,0.0242021014110707,0.2836628175601149
135340,92.28515625,643.1739130434783,370.2664906551488,643.5,3.0,1269.0,0.11368723986717,0.0268363995891734,0.1145828262411803,0.0025993098986129,0.2138648882180554
135227,112.34714673913044,636.4545454545455,365.1424040105607,638.0,17.0,1264.0,0.1062939692481556,0.0296964033953303,0.1024114086643319,0.0165018292324888,0.2293946972193143
135228,95.703125,618.7826086956521,363.5555045862101,623.5,3.0,1232.0,0.0647023174524645,0.0228523806293348,0.0617984121809025,0.0105671328243689,0.152857756963201
135222,89.10290948275862,626.046511627907,356.76622229627094,632.0,10.0,1230.0,0.1275627370471245,0.0302746703817935,0.1283862288670515,0.0436388495728935,0.2236919324930806
135342,99.38401442307692,613.9583333333334,357.5265117403494,611.5,8.0,1215.0,0.0989475610359988,0.0439116071178651,0.0973790095795952,0.0140783199840981,0.2414491457928777
135225,95.703125,614.4130434782609,354.75114217341985,618.0,12.0,1211.0,0.0947738031166797,0.0398807238338903,0.0852840462069313,0.0199959102410463,0.2714521951608438
135220,135.99917763157896,624.3125,362.3451339451794,626.0,8.0,1239.0,0.106506894859199,0.0331131549611114,0.10113446656072,0.0459789295729661,0.2209579127997258
135219,129.19921875,631.1290322580645,360.843209802199,627.5,18.0,1247.0,0.1135430654843665,0.0543861506380908,0.1067172217294558,0.0084165700004285,0.3740175012660245
135368,123.046875,631.2,369.8300420463432,631.0,3.0,1261.0,0.1381713287568381,0.0562787273191765,0.1301478356644527,0.0247069292857964,0.3530180363991253
135224,99.38401442307692,618.625,359.4275323923679,621.0,3.0,1225.0,0.092307855978303,0.0309716372824957,0.0856973478687798,0.0151015370807714,0.2133744106211955
135223,129.19921875,622.6031746031746,361.8547695908349,624.0,9.0,1244.0,0.113926446294741,0.0328532307097883,0.1116646273766897,0.0390821303276281,0.2450885224014057
